日付,曜,A,B,C,D,E,F,G,H,I,J,K,L,M
2023/7/17,月,2,21,,1,1,1,11,11,11,1,1,1,
2023/7/18,火,1,1,1,21,20,,1,1,1,11,11,11,25
2023/7/19,水,,,22,,,21,,,2,,,20,
2023/7/20,木,11,11,11,1,1,1,2,22,,1,1,1,23
2023/7/21,金,1,1,1,11,11,11,1,1,1,21,2,,1
2023/7/22,土,,,,,,,,,,,,,
2023/7/23,日,,,,,,,,,,,,,
2023/7/24,月,20,22,,1,1,1,11,11,11,1,1,1,
2023/7/25,火,1,1,1,22,2,,1,1,1,11,11,11,25
2023/7/26,水,,,2,,,22,,,20,,,21,24
2023/7/27,木,11,11,11,1,1,1,21,20,,1,1,1,2
2023/7/28,金,1,1,1,11,11,11,1,1,1,22,20,,1
2023/7/29,土,,,,,,,,,,,,,
2023/7/30,日,,,,,,,,,,,,,
2023/7/31,月,21,2,,1,1,1,11,11,11,1,1,1,
2023/8/1,火,1,1,1,20,21,,1,1,1,11,11,11,25
2023/8/2,水,,,20,,,2,,,21,,,22,
2023/8/3,木,11,11,11,1,1,1,22,2,,1,1,1,23
2023/8/4,金,1,1,1,11,11,11,1,1,1,2,21,,1
2023/8/5,土,,,,,,,,,,,,,
2023/8/6,日,,,,,,,,,,,,,
2023/8/7,月,22,20,,1,1,1,11,11,11,1,1,1,
2023/8/8,火,1,1,1,2,22,,1,1,1,11,11,11,25
2023/8/9,水,,,21,,,20,,,22,,,2,
2023/8/10,木,11,11,11,1,1,1,20,21,,1,1,1,20
2023/8/11,金,1,1,1,11,11,11,1,1,1,20,22,,1
2023/8/12,土,,,,,,,,,,,,,
2023/8/13,日,,,,,,,,,,,,,
2023/8/14,月,2,21,,1,1,1,11,11,11,1,1,1,
2023/8/15,火,1,1,1,21,20,,1,1,1,11,11,11,25
2023/8/16,水,,,22,,,21,,,2,,,20,
2023/8/17,木,11,11,11,1,1,1,2,22,,1,1,1,23
2023/8/18,金,1,1,1,11,11,11,1,1,1,21,2,,1
2023/8/19,土,,,,,,,,,,,,,
2023/8/20,日,,,,,,,,,,,,,
2023/8/21,月,20,22,,1,1,1,11,11,11,1,1,1,
2023/8/22,火,1,1,1,22,2,,1,1,1,11,11,11,25
2023/8/23,水,,,2,,,22,,,20,,,21,24
2023/8/24,木,11,11,11,1,1,1,21,20,,1,1,1,2
2023/8/25,金,1,1,1,11,11,11,1,1,1,22,20,,1
2023/8/26,土,,,,,,,,,,,,,
2023/8/27,日,,,,,,,,,,,,,
2023/8/28,月,21,2,,1,1,1,11,11,11,1,1,1,
2023/8/29,火,1,1,1,20,21,,1,1,1,11,11,11,25
2023/8/30,水,,,20,,,2,,,21,,,22,
2023/8/31,木,11,11,11,1,1,1,22,2,,1,1,1,
2023/9/1,金,1,1,1,11,11,11,1,1,1,2,21,,1
2023/9/2,土,,,,,,,,,,,,,
2023/9/3,日,,,,,,,,,,,,,
2023/9/4,月,22,20,,1,1,1,11,11,11,1,1,1,
2023/9/5,火,1,1,1,2,22,,1,1,1,11,11,11,25
2023/9/6,水,,,21,,,20,,,22,,,2,
2023/9/7,木,11,11,11,1,1,1,20,21,,1,1,1,23
2023/9/8,金,1,1,1,11,11,11,1,1,1,20,22,,1
2023/9/9,土,,,,,,,,,,,,,
2023/9/10,日,,,,,,,,,,,,,
2023/9/11,月,2,21,,1,1,1,11,11,11,1,1,1,
2023/9/12,火,1,1,1,21,20,,1,1,1,11,11,11,25
2023/9/13,水,,,22,,,21,,,2,,,20,
2023/9/14,木,11,11,11,1,1,1,2,22,,1,1,1,20
2023/9/15,金,1,1,1,11,11,11,1,1,1,21,2,,1
2023/9/16,土,,,,,,,,,,,,,
2023/9/17,日,,,,,,,,,,,,,
2023/9/18,月,20,22,,1,1,1,11,11,11,1,1,1,
2023/9/19,火,1,1,1,22,2,,1,1,1,11,11,11,25
2023/9/20,水,,,2,,,22,,,20,,,21,
2023/9/21,木,11,11,11,1,1,1,21,20,,1,1,1,23
2023/9/22,金,1,1,1,11,11,11,1,1,1,22,20,,1
2023/9/23,土,,,,,,,,,,,,,
